Tanggal,Provinsi,Nama Komoditas,Harga (Rp)
10/01/2023,Jawa Timur,Beras Premium,12290.0
10/01/2023,Banten,Beras Premium,11980.0
11/01/2023,DKI Jakarta,Beras Premium,12480.0
11/01/2023,Jawa Barat,Beras Premium,12220.0
11/01/2023,Jawa Tengah,Beras Premium,12470.0
11/01/2023,D.I Yogyakarta,Beras Premium,12500.0
11/01/2023,Jawa Timur,Beras Premium,12310.0
11/01/2023,Banten,Beras Premium,11840.0
12/01/2023,DKI Jakarta,Beras Premium,12480.0
12/01/2023,Jawa Barat,Beras Premium,12290.0
12/01/2023,Jawa Tengah,Beras Premium,12490.0
12/01/2023,D.I Yogyakarta,Beras Premium,12500.0
12/01/2023,Jawa Timur,Beras Premium,12340.0
12/01/2023,Banten,Beras Premium,11980.0
13/01/2023,DKI Jakarta,Beras Premium,12480.0
13/01/2023,Jawa Barat,Beras Premium,12310.0
13/01/2023,Jawa Tengah,Beras Premium,12480.0
13/01/2023,D.I Yogyakarta,Beras Premium,12500.0
13/01/2023,Jawa Timur,Beras Premium,12270.0
13/01/2023,Banten,Beras Premium,11970.0
14/01/2023,DKI Jakarta,Beras Premium,12480.0
14/01/2023,Jawa Barat,Beras Premium,12280.0
14/01/2023,Jawa Tengah,Beras Premium,12570.0
14/01/2023,D.I Yogyakarta,Beras Premium,12500.0
14/01/2023,Jawa Timur,Beras Premium,12410.0
14/01/2023,Banten,Beras Premium,11970.0
15/01/2023,DKI Jakarta,Beras Premium,12480.0
15/01/2023,Jawa Barat,Beras Premium,12260.0
15/01/2023,Jawa Tengah,Beras Premium,12510.0
15/01/2023,D.I Yogyakarta,Beras Premium,12760.0
15/01/2023,Jawa Timur,Beras Premium,12360.0
15/01/2023,Banten,Beras Premium,11970.0
16/01/2023,DKI Jakarta,Beras Premium,12480.0
16/01/2023,Jawa Barat,Beras Premium,12310.0
16/01/2023,Jawa Tengah,Beras Premium,12500.0
16/01/2023,D.I Yogyakarta,Beras Premium,12500.0
16/01/2023,Jawa Timur,Beras Premium,12340.0
16/01/2023,Banten,Beras Premium,11970.0
17/01/2023,DKI Jakarta,Beras Premium,12480.0
17/01/2023,Jawa Barat,Beras Premium,12350.0
17/01/2023,Jawa Tengah,Beras Premium,12500.0
17/01/2023,D.I Yogyakarta,Beras Premium,12520.0
17/01/2023,Jawa Timur,Beras Premium,12380.0
17/01/2023,Banten,Beras Premium,11970.0
18/01/2023,DKI Jakarta,Beras Premium,12300.0
18/01/2023,Jawa Barat,Beras Premium,12370.0
18/01/2023,Jawa Tengah,Beras Premium,12450.0
18/01/2023,D.I Yogyakarta,Beras Premium,12500.0
18/01/2023,Jawa Timur,Beras Premium,12390.0
18/01/2023,Banten,Beras Premium,11970.0
19/01/2023,DKI Jakarta,Beras Premium,12300.0
19/01/2023,Jawa Barat,Beras Premium,12370.0
19/01/2023,Jawa Tengah,Beras Premium,12480.0
19/01/2023,D.I Yogyakarta,Beras Premium,12600.0
19/01/2023,Jawa Timur,Beras Premium,12410.0
19/01/2023,Banten,Beras Premium,11970.0
20/01/2023,DKI Jakarta,Beras Premium,12480.0
20/01/2023,Jawa Barat,Beras Premium,12420.0
20/01/2023,Jawa Tengah,Beras Premium,12480.0
20/01/2023,D.I Yogyakarta,Beras Premium,12600.0
20/01/2023,Jawa Timur,Beras Premium,12370.0
20/01/2023,Banten,Beras Premium,11970.0
21/01/2023,DKI Jakarta,Beras Premium,12480.0
21/01/2023,Jawa Barat,Beras Premium,12400.0
21/01/2023,Jawa Tengah,Beras Premium,12560.0
21/01/2023,D.I Yogyakarta,Beras Premium,12610.0
21/01/2023,Jawa Timur,Beras Premium,12420.0
21/01/2023,Banten,Beras Premium,12050.0
22/01/2023,DKI Jakarta,Beras Premium,12480.0
22/01/2023,Jawa Barat,Beras Premium,12380.0
22/01/2023,Jawa Tengah,Beras Premium,12410.0
22/01/2023,D.I Yogyakarta,Beras Premium,12610.0
22/01/2023,Jawa Timur,Beras Premium,12410.0
22/01/2023,Banten,Beras Premium,11970.0
23/01/2023,DKI Jakarta,Beras Premium,12480.0
23/01/2023,Jawa Barat,Beras Premium,12400.0
23/01/2023,Jawa Tengah,Beras Premium,12510.0
23/01/2023,D.I Yogyakarta,Beras Premium,12610.0
23/01/2023,Jawa Timur,Beras Premium,12410.0
23/01/2023,Banten,Beras Premium,11840.0
24/01/2023,DKI Jakarta,Beras Premium,12480.0
24/01/2023,Jawa Barat,Beras Premium,12440.0
24/01/2023,Jawa Tengah,Beras Premium,12510.0
24/01/2023,D.I Yogyakarta,Beras Premium,12610.0
24/01/2023,Jawa Timur,Beras Premium,12360.0
24/01/2023,Banten,Beras Premium,11970.0
25/01/2023,DKI Jakarta,Beras Premium,12480.0
25/01/2023,Jawa Barat,Beras Premium,12450.0
25/01/2023,Jawa Tengah,Beras Premium,12550.0
25/01/2023,D.I Yogyakarta,Beras Premium,12620.0
25/01/2023,Jawa Timur,Beras Premium,12440.0
25/01/2023,Banten,Beras Premium,11970.0
26/01/2023,DKI Jakarta,Beras Premium,12480.0
26/01/2023,Jawa Barat,Beras Premium,12510.0
26/01/2023,Jawa Tengah,Beras Premium,12540.0
26/01/2023,D.I Yogyakarta,Beras Premium,12610.0
26/01/2023,Jawa Timur,Beras Premium,12440.0
26/01/2023,Banten,Beras Premium,11970.0
27/01/2023,DKI Jakarta,Beras Premium,12480.0
27/01/2023,Jawa Barat,Beras Premium,12520.0
27/01/2023,Jawa Tengah,Beras Premium,12550.0
27/01/2023,D.I Yogyakarta,Beras Premium,12620.0
27/01/2023,Jawa Timur,Beras Premium,12350.0
27/01/2023,Banten,Beras Premium,12040.0
28/01/2023,DKI Jakarta,Beras Premium,12480.0
28/01/2023,Jawa Barat,Beras Premium,12480.0
28/01/2023,Jawa Tengah,Beras Premium,12590.0
28/01/2023,D.I Yogyakarta,Beras Premium,12620.0
28/01/2023,Jawa Timur,Beras Premium,12380.0
28/01/2023,Banten,Beras Premium,11970.0
29/01/2023,DKI Jakarta,Beras Premium,12480.0
29/01/2023,Jawa Barat,Beras Premium,12510.0
29/01/2023,Jawa Tengah,Beras Premium,12610.0
29/01/2023,D.I Yogyakarta,Beras Premium,12620.0
29/01/2023,Jawa Timur,Beras Premium,12470.0
29/01/2023,Banten,Beras Premium,11970.0
30/01/2023,DKI Jakarta,Beras Premium,12480.0
30/01/2023,Jawa Barat,Beras Premium,12530.0
30/01/2023,Jawa Tengah,Beras Premium,12590.0
30/01/2023,D.I Yogyakarta,Beras Premium,12620.0
30/01/2023,Jawa Timur,Beras Premium,12470.0
30/01/2023,Banten,Beras Premium,11970.0
31/01/2023,DKI Jakarta,Beras Premium,12480.0
31/01/2023,Jawa Barat,Beras Premium,12510.0
31/01/2023,Jawa Tengah,Beras Premium,12660.0
31/01/2023,D.I Yogyakarta,Beras Premium,12620.0
31/01/2023,Jawa Timur,Beras Premium,12500.0
31/01/2023,Banten,Beras Premium,11970.0
01/02/2023,DKI Jakarta,Beras Premium,12780.0
01/02/2023,Jawa Barat,Beras Premium,12560.0
01/02/2023,Jawa Tengah,Beras Premium,12680.0
01/02/2023,D.I Yogyakarta,Beras Premium,12620.0
01/02/2023,Jawa Timur,Beras Premium,12510.0
01/02/2023,Banten,Beras Premium,11980.0
02/02/2023,DKI Jakarta,Beras Premium,12560.0
02/02/2023,Jawa Barat,Beras Premium,12590.0
02/02/2023,Jawa Tengah,Beras Premium,12610.0
02/02/2023,D.I Yogyakarta,Beras Premium,12730.0
02/02/2023,Jawa Timur,Beras Premium,12660.0
02/02/2023,Banten,Beras Premium,11970.0
03/02/2023,DKI Jakarta,Beras Premium,12560.0
03/02/2023,Jawa Barat,Beras Premium,12590.0
03/02/2023,Jawa Tengah,Beras Premium,12580.0
03/02/2023,D.I Yogyakarta,Beras Premium,12730.0
03/02/2023,Jawa Timur,Beras Premium,12640.0
03/02/2023,Banten,Beras Premium,11960.0
04/02/2023,DKI Jakarta,Beras Premium,12560.0
04/02/2023,Jawa Barat,Beras Premium,12630.0
04/02/2023,Jawa Tengah,Beras Premium,12680.0
04/02/2023,D.I Yogyakarta,Beras Premium,12730.0
04/02/2023,Jawa Timur,Beras Premium,12740.0
04/02/2023,Banten,Beras Premium,12020.0
05/02/2023,DKI Jakarta,Beras Premium,12480.0
05/02/2023,Jawa Barat,Beras Premium,12600.0
05/02/2023,Jawa Tengah,Beras Premium,12600.0
05/02/2023,D.I Yogyakarta,Beras Premium,12730.0
05/02/2023,Jawa Timur,Beras Premium,12590.0
05/02/2023,Banten,Beras Premium,12020.0
06/02/2023,DKI Jakarta,Beras Premium,12480.0
06/02/2023,Jawa Barat,Beras Premium,12650.0
06/02/2023,Jawa Tengah,Beras Premium,12680.0
06/02/2023,D.I Yogyakarta,Beras Premium,12730.0
06/02/2023,Jawa Timur,Beras Premium,12820.0
06/02/2023,Banten,Beras Premium,12210.0
07/02/2023,DKI Jakarta,Beras Premium,12480.0
07/02/2023,Jawa Barat,Beras Premium,12670.0
07/02/2023,Jawa Tengah,Beras Premium,12830.0
07/02/2023,D.I Yogyakarta,Beras Premium,12750.0
07/02/2023,Jawa Timur,Beras Premium,12820.0
07/02/2023,Banten,Beras Premium,12150.0
08/02/2023,DKI Jakarta,Beras Premium,12560.0
08/02/2023,Jawa Barat,Beras Premium,12690.0
08/02/2023,Jawa Tengah,Beras Premium,12950.0
08/02/2023,D.I Yogyakarta,Beras Premium,12750.0
08/02/2023,Jawa Timur,Beras Premium,12790.0
08/02/2023,Banten,Beras Premium,12210.0
09/02/2023,DKI Jakarta,Beras Premium,12560.0
09/02/2023,Jawa Barat,Beras Premium,12650.0
09/02/2023,Jawa Tengah,Beras Premium,12960.0
09/02/2023,D.I Yogyakarta,Beras Premium,12750.0
09/02/2023,Jawa Timur,Beras Premium,12900.0
09/02/2023,Banten,Beras Premium,12280.0
10/02/2023,DKI Jakarta,Beras Premium,12560.0
10/02/2023,Jawa Barat,Beras Premium,12670.0
10/02/2023,Jawa Tengah,Beras Premium,12980.0
10/02/2023,D.I Yogyakarta,Beras Premium,12750.0
10/02/2023,Jawa Timur,Beras Premium,12750.0
10/02/2023,Banten,Beras Premium,12030.0
11/02/2023,DKI Jakarta,Beras Premium,12480.0
11/02/2023,Jawa Barat,Beras Premium,12690.0
11/02/2023,Jawa Tengah,Beras Premium,13060.0
11/02/2023,D.I Yogyakarta,Beras Premium,12750.0
11/02/2023,Jawa Timur,Beras Premium,12810.0
11/02/2023,Banten,Beras Premium,12210.0
12/02/2023,DKI Jakarta,Beras Premium,12480.0
12/02/2023,Jawa Barat,Beras Premium,12730.0
12/02/2023,Jawa Tengah,Beras Premium,12980.0
12/02/2023,D.I Yogyakarta,Beras Premium,12750.0
12/02/2023,Jawa Timur,Beras Premium,12740.0
12/02/2023,Banten,Beras Premium,12220.0
13/02/2023,DKI Jakarta,Beras Premium,12480.0
13/02/2023,Jawa Barat,Beras Premium,12760.0
13/02/2023,Jawa Tengah,Beras Premium,13000.0
13/02/2023,D.I Yogyakarta,Beras Premium,12540.0
13/02/2023,Jawa Timur,Beras Premium,12810.0
13/02/2023,Banten,Beras Premium,12280.0
14/02/2023,DKI Jakarta,Beras Premium,12480.0
14/02/2023,Jawa Barat,Beras Premium,12770.0
14/02/2023,Jawa Tengah,Beras Premium,12980.0
14/02/2023,D.I Yogyakarta,Beras Premium,12750.0
14/02/2023,Jawa Timur,Beras Premium,12710.0
14/02/2023,Banten,Beras Premium,12410.0
15/02/2023,DKI Jakarta,Beras Premium,12480.0
15/02/2023,Jawa Barat,Beras Premium,12610.0
15/02/2023,Jawa Tengah,Beras Premium,13050.0
15/02/2023,D.I Yogyakarta,Beras Premium,12750.0
15/02/2023,Jawa Timur,Beras Premium,12790.0
15/02/2023,Banten,Beras Premium,12350.0
16/02/2023,DKI Jakarta,Beras Premium,12480.0
16/02/2023,Jawa Barat,Beras Premium,12750.0
16/02/2023,Jawa Tengah,Beras Premium,13020.0
16/02/2023,D.I Yogyakarta,Beras Premium,12750.0
16/02/2023,Jawa Timur,Beras Premium,12760.0
16/02/2023,Banten,Beras Premium,12350.0
17/02/2023,DKI Jakarta,Beras Premium,12480.0
17/02/2023,Jawa Barat,Beras Premium,12810.0
17/02/2023,Jawa Tengah,Beras Premium,12970.0
17/02/2023,D.I Yogyakarta,Beras Premium,12670.0
17/02/2023,Jawa Timur,Beras Premium,12800.0
17/02/2023,Banten,Beras Premium,12360.0
18/02/2023,DKI Jakarta,Beras Premium,12480.0
18/02/2023,Jawa Barat,Beras Premium,12800.0
18/02/2023,Jawa Tengah,Beras Premium,12960.0
18/02/2023,D.I Yogyakarta,Beras Premium,12650.0
18/02/2023,Jawa Timur,Beras Premium,12820.0
18/02/2023,Banten,Beras Premium,12390.0
19/02/2023,DKI Jakarta,Beras Premium,12560.0
19/02/2023,Jawa Barat,Beras Premium,12690.0
19/02/2023,Jawa Tengah,Beras Premium,12940.0
19/02/2023,D.I Yogyakarta,Beras Premium,12670.0
19/02/2023,Jawa Timur,Beras Premium,12780.0
19/02/2023,Banten,Beras Premium,12390.0
20/02/2023,DKI Jakarta,Beras Premium,12680.0
20/02/2023,Jawa Barat,Beras Premium,12740.0
20/02/2023,Jawa Tengah,Beras Premium,12950.0
20/02/2023,D.I Yogyakarta,Beras Premium,12740.0
20/02/2023,Jawa Timur,Beras Premium,12700.0
20/02/2023,Banten,Beras Premium,12280.0
21/02/2023,DKI Jakarta,Beras Premium,12480.0
21/02/2023,Jawa Barat,Beras Premium,12740.0
21/02/2023,Jawa Tengah,Beras Premium,12940.0
21/02/2023,D.I Yogyakarta,Beras Premium,12740.0
21/02/2023,Jawa Timur,Beras Premium,12690.0
21/02/2023,Banten,Beras Premium,12320.0
22/02/2023,DKI Jakarta,Beras Premium,12480.0
22/02/2023,Jawa Barat,Beras Premium,12720.0
22/02/2023,Jawa Tengah,Beras Premium,12920.0
22/02/2023,D.I Yogyakarta,Beras Premium,12780.0
22/02/2023,Jawa Timur,Beras Premium,12790.0
22/02/2023,Banten,Beras Premium,12360.0
23/02/2023,DKI Jakarta,Beras Premium,12650.0
23/02/2023,Jawa Barat,Beras Premium,12720.0
23/02/2023,Jawa Tengah,Beras Premium,12900.0
23/02/2023,D.I Yogyakarta,Beras Premium,12780.0
23/02/2023,Jawa Timur,Beras Premium,12660.0
23/02/2023,Banten,Beras Premium,12250.0
24/02/2023,DKI Jakarta,Beras Premium,12480.0
24/02/2023,Jawa Barat,Beras Premium,12670.0
24/02/2023,Jawa Tengah,Beras Premium,12860.0
24/02/2023,D.I Yogyakarta,Beras Premium,12780.0
24/02/2023,Jawa Timur,Beras Premium,12570.0
24/02/2023,Banten,Beras Premium,12430.0
25/02/2023,DKI Jakarta,Beras Premium,12800.0
25/02/2023,Jawa Barat,Beras Premium,12710.0
25/02/2023,Jawa Tengah,Beras Premium,12910.0
25/02/2023,D.I Yogyakarta,Beras Premium,12780.0
25/02/2023,Jawa Timur,Beras Premium,12640.0
25/02/2023,Banten,Beras Premium,12240.0
26/02/2023,DKI Jakarta,Beras Premium,12650.0
26/02/2023,Jawa Barat,Beras Premium,12730.0
26/02/2023,Jawa Tengah,Beras Premium,12870.0
26/02/2023,D.I Yogyakarta,Beras Premium,12780.0
26/02/2023,Jawa Timur,Beras Premium,12530.0
26/02/2023,Banten,Beras Premium,12190.0
27/02/2023,DKI Jakarta,Beras Premium,12650.0
27/02/2023,Jawa Barat,Beras Premium,12620.0
27/02/2023,Jawa Tengah,Beras Premium,12790.0
27/02/2023,D.I Yogyakarta,Beras Premium,12690.0
27/02/2023,Jawa Timur,Beras Premium,12540.0
27/02/2023,Banten,Beras Premium,12190.0
28/02/2023,DKI Jakarta,Beras Premium,12650.0
28/02/2023,Jawa Barat,Beras Premium,12630.0
28/02/2023,Jawa Tengah,Beras Premium,12820.0
28/02/2023,D.I Yogyakarta,Beras Premium,12780.0
28/02/2023,Jawa Timur,Beras Premium,12560.0
28/02/2023,Banten,Beras Premium,12190.0
01/03/2023,DKI Jakarta,Beras Premium,12650.0
01/03/2023,Jawa Barat,Beras Premium,12560.0
01/03/2023,Jawa Tengah,Beras Premium,12750.0
01/03/2023,D.I Yogyakarta,Beras Premium,12640.0
01/03/2023,Jawa Timur,Beras Premium,12500.0
01/03/2023,Banten,Beras Premium,12190.0
02/03/2023,DKI Jakarta,Beras Premium,12730.0
02/03/2023,Jawa Barat,Beras Premium,12560.0
02/03/2023,Jawa Tengah,Beras Premium,12770.0
02/03/2023,D.I Yogyakarta,Beras Premium,12620.0
02/03/2023,Jawa Timur,Beras Premium,12570.0
02/03/2023,Banten,Beras Premium,12390.0
03/03/2023,DKI Jakarta,Beras Premium,12730.0
03/03/2023,Jawa Barat,Beras Premium,12580.0
03/03/2023,Jawa Tengah,Beras Premium,12780.0
03/03/2023,D.I Yogyakarta,Beras Premium,12620.0
03/03/2023,Jawa Timur,Beras Premium,12560.0
03/03/2023,Banten,Beras Premium,12310.0
04/03/2023,DKI Jakarta,Beras Premium,12880.0
04/03/2023,Jawa Barat,Beras Premium,12520.0
04/03/2023,Jawa Tengah,Beras Premium,12730.0
04/03/2023,D.I Yogyakarta,Beras Premium,12620.0
04/03/2023,Jawa Timur,Beras Premium,12580.0
04/03/2023,Banten,Beras Premium,12080.0
05/03/2023,DKI Jakarta,Beras Premium,12730.0
05/03/2023,Jawa Barat,Beras Premium,12510.0
05/03/2023,Jawa Tengah,Beras Premium,12700.0
05/03/2023,D.I Yogyakarta,Beras Premium,12640.0
05/03/2023,Jawa Timur,Beras Premium,12460.0
05/03/2023,Banten,Beras Premium,12460.0
06/03/2023,DKI Jakarta,Beras Premium,13060.0
06/03/2023,Jawa Barat,Beras Premium,12550.0
06/03/2023,Jawa Tengah,Beras Premium,12710.0
06/03/2023,D.I Yogyakarta,Beras Premium,12640.0
06/03/2023,Jawa Timur,Beras Premium,12500.0
06/03/2023,Banten,Beras Premium,12460.0
07/03/2023,DKI Jakarta,Beras Premium,13060.0
07/03/2023,Jawa Barat,Beras Premium,12530.0
07/03/2023,Jawa Tengah,Beras Premium,12710.0
07/03/2023,D.I Yogyakarta,Beras Premium,12640.0
07/03/2023,Jawa Timur,Beras Premium,12510.0
07/03/2023,Banten,Beras Premium,12390.0
08/03/2023,DKI Jakarta,Beras Premium,12730.0
08/03/2023,Jawa Barat,Beras Premium,12510.0
08/03/2023,Jawa Tengah,Beras Premium,12670.0
08/03/2023,D.I Yogyakarta,Beras Premium,12640.0
08/03/2023,Jawa Timur,Beras Premium,12450.0
08/03/2023,Banten,Beras Premium,12390.0
09/03/2023,DKI Jakarta,Beras Premium,12730.0
09/03/2023,Jawa Barat,Beras Premium,12560.0
09/03/2023,Jawa Tengah,Beras Premium,12690.0
09/03/2023,D.I Yogyakarta,Beras Premium,12610.0
09/03/2023,Jawa Timur,Beras Premium,12520.0
09/03/2023,Banten,Beras Premium,12460.0
10/03/2023,DKI Jakarta,Beras Premium,12730.0
10/03/2023,Jawa Barat,Beras Premium,12480.0
10/03/2023,Jawa Tengah,Beras Premium,12660.0
10/03/2023,D.I Yogyakarta,Beras Premium,12610.0
10/03/2023,Jawa Timur,Beras Premium,12490.0
10/03/2023,Banten,Beras Premium,12390.0
11/03/2023,DKI Jakarta,Beras Premium,12730.0
11/03/2023,Jawa Barat,Beras Premium,12450.0
11/03/2023,Jawa Tengah,Beras Premium,12700.0
11/03/2023,D.I Yogyakarta,Beras Premium,12610.0
11/03/2023,Jawa Timur,Beras Premium,12510.0
11/03/2023,Banten,Beras Premium,12390.0
12/03/2023,DKI Jakarta,Beras Premium,12730.0
12/03/2023,Jawa Barat,Beras Premium,12520.0
12/03/2023,Jawa Tengah,Beras Premium,12710.0
12/03/2023,D.I Yogyakarta,Beras Premium,12610.0
12/03/2023,Jawa Timur,Beras Premium,12480.0
12/03/2023,Banten,Beras Premium,12460.0
13/03/2023,DKI Jakarta,Beras Premium,12730.0
13/03/2023,Jawa Barat,Beras Premium,12600.0
13/03/2023,Jawa Tengah,Beras Premium,12720.0
13/03/2023,D.I Yogyakarta,Beras Premium,12800.0
13/03/2023,Jawa Timur,Beras Premium,12550.0
13/03/2023,Banten,Beras Premium,12520.0
14/03/2023,DKI Jakarta,Beras Premium,12730.0
14/03/2023,Jawa Barat,Beras Premium,12580.0
14/03/2023,Jawa Tengah,Beras Premium,12770.0
14/03/2023,D.I Yogyakarta,Beras Premium,12610.0
14/03/2023,Jawa Timur,Beras Premium,12620.0
14/03/2023,Banten,Beras Premium,12070.0
15/03/2023,DKI Jakarta,Beras Premium,12730.0
15/03/2023,Jawa Barat,Beras Premium,12640.0
15/03/2023,Jawa Tengah,Beras Premium,12680.0
15/03/2023,D.I Yogyakarta,Beras Premium,12610.0
15/03/2023,Jawa Timur,Beras Premium,12620.0
15/03/2023,Banten,Beras Premium,12220.0
16/03/2023,DKI Jakarta,Beras Premium,12730.0
16/03/2023,Jawa Barat,Beras Premium,12520.0
16/03/2023,Jawa Tengah,Beras Premium,12720.0
16/03/2023,D.I Yogyakarta,Beras Premium,12610.0
16/03/2023,Jawa Timur,Beras Premium,12610.0
16/03/2023,Banten,Beras Premium,12220.0
17/03/2023,DKI Jakarta,Beras Premium,12730.0
17/03/2023,Jawa Barat,Beras Premium,12620.0
17/03/2023,Jawa Tengah,Beras Premium,12730.0
17/03/2023,D.I Yogyakarta,Beras Premium,12610.0
17/03/2023,Jawa Timur,Beras Premium,12760.0
17/03/2023,Banten,Beras Premium,12530.0
18/03/2023,DKI Jakarta,Beras Premium,12730.0
18/03/2023,Jawa Barat,Beras Premium,12570.0
18/03/2023,Jawa Tengah,Beras Premium,12710.0
18/03/2023,D.I Yogyakarta,Beras Premium,12610.0
18/03/2023,Jawa Timur,Beras Premium,12650.0
18/03/2023,Banten,Beras Premium,12530.0
19/03/2023,DKI Jakarta,Beras Premium,12730.0
19/03/2023,Jawa Barat,Beras Premium,12560.0
19/03/2023,Jawa Tengah,Beras Premium,12800.0
19/03/2023,D.I Yogyakarta,Beras Premium,12510.0
19/03/2023,Jawa Timur,Beras Premium,12630.0
19/03/2023,Banten,Beras Premium,12530.0
20/03/2023,DKI Jakarta,Beras Premium,12730.0
20/03/2023,Jawa Barat,Beras Premium,12500.0
20/03/2023,Jawa Tengah,Beras Premium,12830.0
20/03/2023,D.I Yogyakarta,Beras Premium,12610.0
20/03/2023,Jawa Timur,Beras Premium,12800.0
20/03/2023,Banten,Beras Premium,12530.0
21/03/2023,DKI Jakarta,Beras Premium,12730.0
21/03/2023,Jawa Barat,Beras Premium,12490.0
21/03/2023,Jawa Tengah,Beras Premium,12770.0
21/03/2023,D.I Yogyakarta,Beras Premium,12610.0
21/03/2023,Jawa Timur,Beras Premium,12750.0
21/03/2023,Banten,Beras Premium,12410.0
22/03/2023,DKI Jakarta,Beras Premium,12730.0
22/03/2023,Jawa Barat,Beras Premium,12480.0
22/03/2023,Jawa Tengah,Beras Premium,12780.0
22/03/2023,D.I Yogyakarta,Beras Premium,12610.0
22/03/2023,Jawa Timur,Beras Premium,12730.0
22/03/2023,Banten,Beras Premium,12350.0
23/03/2023,DKI Jakarta,Beras Premium,12730.0
23/03/2023,Jawa Barat,Beras Premium,12440.0
23/03/2023,Jawa Tengah,Beras Premium,12890.0
23/03/2023,D.I Yogyakarta,Beras Premium,12610.0
23/03/2023,Jawa Timur,Beras Premium,12750.0
23/03/2023,Banten,Beras Premium,12350.0
24/03/2023,DKI Jakarta,Beras Premium,12870.0
24/03/2023,Jawa Barat,Beras Premium,12570.0
24/03/2023,Jawa Tengah,Beras Premium,12770.0
24/03/2023,D.I Yogyakarta,Beras Premium,12580.0
24/03/2023,Jawa Timur,Beras Premium,12820.0
24/03/2023,Banten,Beras Premium,12410.0
25/03/2023,DKI Jakarta,Beras Premium,12870.0
25/03/2023,Jawa Barat,Beras Premium,12500.0
25/03/2023,Jawa Tengah,Beras Premium,12790.0
25/03/2023,D.I Yogyakarta,Beras Premium,12580.0
25/03/2023,Jawa Timur,Beras Premium,12740.0
25/03/2023,Banten,Beras Premium,12270.0
26/03/2023,DKI Jakarta,Beras Premium,12870.0
26/03/2023,Jawa Barat,Beras Premium,12510.0
26/03/2023,Jawa Tengah,Beras Premium,12810.0
26/03/2023,D.I Yogyakarta,Beras Premium,12580.0
26/03/2023,Jawa Timur,Beras Premium,12630.0
26/03/2023,Banten,Beras Premium,12270.0
27/03/2023,DKI Jakarta,Beras Premium,12610.0
27/03/2023,Jawa Barat,Beras Premium,12570.0
27/03/2023,Jawa Tengah,Beras Premium,12800.0
27/03/2023,D.I Yogyakarta,Beras Premium,12580.0
