Tanggal,Provinsi,Komoditas (Rp),Harga
01/01/2023,Nusa Tenggara Timur,Bawang Merah,37630.0
01/01/2023,Nusa Tenggara Timur,Bawang Putih Bonggol,34420.0
01/01/2023,Nusa Tenggara Timur,Cabai Rawit Merah,63080.0
01/01/2023,Kalimantan Barat,Beras Premium,14350.0
01/01/2023,Kalimantan Barat,Beras Medium,12510.0
01/01/2023,Kalimantan Barat,Bawang Merah,41870.0
01/01/2023,Kalimantan Barat,Bawang Putih Bonggol,24980.0
01/01/2023,Kalimantan Barat,Cabai Rawit Merah,69100.0
01/01/2023,Kalimantan Tengah,Beras Premium,15400.0
01/01/2023,Kalimantan Tengah,Beras Medium,12590.0
01/01/2023,Kalimantan Tengah,Bawang Merah,39040.0
01/01/2023,Kalimantan Tengah,Bawang Putih Bonggol,28660.0
01/01/2023,Kalimantan Tengah,Cabai Rawit Merah,71580.0
01/01/2023,Kalimantan Selatan,Beras Premium,16770.0
01/01/2023,Kalimantan Selatan,Beras Medium,12740.0
01/01/2023,Kalimantan Selatan,Bawang Merah,34610.0
01/01/2023,Kalimantan Selatan,Bawang Putih Bonggol,25350.0
01/01/2023,Kalimantan Selatan,Cabai Rawit Merah,55350.0
01/01/2023,Kalimantan Timur,Beras Premium,13320.0
01/01/2023,Kalimantan Timur,Beras Medium,11800.0
01/01/2023,Kalimantan Timur,Bawang Merah,38440.0
01/01/2023,Kalimantan Timur,Bawang Putih Bonggol,26400.0
01/01/2023,Kalimantan Timur,Cabai Rawit Merah,54500.0
01/01/2023,Kalimantan Utara,Beras Premium,14940.0
01/01/2023,Kalimantan Utara,Beras Medium,13420.0
01/01/2023,Kalimantan Utara,Bawang Merah,44270.0
01/01/2023,Kalimantan Utara,Bawang Putih Bonggol,32610.0
01/01/2023,Kalimantan Utara,Cabai Rawit Merah,71820.0
01/01/2023,Sulawesi Utara,Beras Premium,13160.0
01/01/2023,Sulawesi Utara,Beras Medium,12240.0
01/01/2023,Sulawesi Utara,Bawang Merah,44990.0
01/01/2023,Sulawesi Utara,Bawang Putih Bonggol,32600.0
01/01/2023,Sulawesi Utara,Cabai Rawit Merah,51270.0
01/01/2023,Sulawesi Tengah,Beras Premium,12260.0
01/01/2023,Sulawesi Tengah,Beras Medium,10670.0
01/01/2023,Sulawesi Tengah,Bawang Merah,41510.0
01/01/2023,Sulawesi Tengah,Bawang Putih Bonggol,32150.0
01/01/2023,Sulawesi Tengah,Cabai Rawit Merah,47340.0
01/01/2023,Sulawesi Selatan,Beras Premium,11520.0
01/01/2023,Sulawesi Selatan,Beras Medium,10190.0
01/01/2023,Sulawesi Selatan,Bawang Merah,34700.0
01/01/2023,Sulawesi Selatan,Bawang Putih Bonggol,26410.0
01/01/2023,Sulawesi Selatan,Cabai Rawit Merah,32140.0
01/01/2023,Sulawesi Tenggara,Beras Premium,12180.0
01/01/2023,Sulawesi Tenggara,Beras Medium,10800.0
01/01/2023,Sulawesi Tenggara,Bawang Merah,42810.0
01/01/2023,Sulawesi Tenggara,Bawang Putih Bonggol,34240.0
01/01/2023,Sulawesi Tenggara,Cabai Rawit Merah,46560.0
01/01/2023,Gorontalo,Beras Premium,12360.0
01/01/2023,Gorontalo,Beras Medium,10980.0
01/01/2023,Gorontalo,Bawang Merah,37610.0
01/01/2023,Gorontalo,Bawang Putih Bonggol,33070.0
01/01/2023,Gorontalo,Cabai Rawit Merah,44760.0
01/01/2023,Sulawesi Barat,Beras Premium,12040.0
01/01/2023,Sulawesi Barat,Beras Medium,10810.0
01/01/2023,Sulawesi Barat,Bawang Merah,35500.0
01/01/2023,Sulawesi Barat,Bawang Putih Bonggol,28440.0
01/01/2023,Sulawesi Barat,Cabai Rawit Merah,33820.0
01/01/2023,Maluku,Beras Premium,14590.0
01/01/2023,Maluku,Beras Medium,12810.0
01/01/2023,Maluku,Bawang Merah,46740.0
01/01/2023,Maluku,Bawang Putih Bonggol,36710.0
01/01/2023,Maluku,Cabai Rawit Merah,92590.0
01/01/2023,Maluku Utara,Beras Premium,14270.0
01/01/2023,Maluku Utara,Beras Medium,12820.0
01/01/2023,Maluku Utara,Bawang Merah,56370.0
01/01/2023,Maluku Utara,Bawang Putih Bonggol,40220.0
01/01/2023,Maluku Utara,Cabai Rawit Merah,73780.0
01/01/2023,Papua Barat,Beras Premium,16060.0
01/01/2023,Papua Barat,Beras Medium,13440.0
01/01/2023,Papua Barat,Bawang Merah,56530.0
01/01/2023,Papua Barat,Bawang Putih Bonggol,44050.0
01/01/2023,Papua Barat,Cabai Rawit Merah,90820.0
01/01/2023,Papua,Beras Premium,15230.0
01/01/2023,Papua,Beras Medium,13260.0
01/01/2023,Papua,Bawang Merah,58450.0
01/01/2023,Papua,Bawang Putih Bonggol,35190.0
01/01/2023,Papua,Cabai Rawit Merah,89830.0
01/01/2023,Papua Barat Daya,Beras Premium,
01/01/2023,Papua Barat Daya,Beras Medium,
01/01/2023,Papua Barat Daya,Bawang Merah,
01/01/2023,Papua Barat Daya,Bawang Putih Bonggol,
01/01/2023,Papua Barat Daya,Cabai Rawit Merah,
01/01/2023,Papua Pegunungan,Beras Premium,
01/01/2023,Papua Pegunungan,Beras Medium,
01/01/2023,Papua Pegunungan,Bawang Merah,
01/01/2023,Papua Pegunungan,Bawang Putih Bonggol,
01/01/2023,Papua Pegunungan,Cabai Rawit Merah,
01/01/2023,Papua Tengah,Beras Premium,
01/01/2023,Papua Tengah,Beras Medium,
01/01/2023,Papua Tengah,Bawang Merah,
01/01/2023,Papua Tengah,Bawang Putih Bonggol,
01/01/2023,Papua Tengah,Cabai Rawit Merah,
01/01/2023,Papua Selatan,Beras Premium,
01/01/2023,Papua Selatan,Beras Medium,
01/01/2023,Papua Selatan,Bawang Merah,
01/01/2023,Papua Selatan,Bawang Putih Bonggol,
01/01/2023,Papua Selatan,Cabai Rawit Merah,
02/01/2023,Aceh,Beras Premium,12340.0
02/01/2023,Aceh,Beras Medium,11240.0
02/01/2023,Aceh,Bawang Merah,32630.0
02/01/2023,Aceh,Bawang Putih Bonggol,25040.0
02/01/2023,Aceh,Cabai Rawit Merah,
02/01/2023,Sumatera Utara,Beras Premium,12910.0
02/01/2023,Sumatera Utara,Beras Medium,11800.0
02/01/2023,Sumatera Utara,Bawang Merah,31300.0
02/01/2023,Sumatera Utara,Bawang Putih Bonggol,26560.0
02/01/2023,Sumatera Utara,Cabai Rawit Merah,51100.0
02/01/2023,Sumatera Barat,Beras Premium,15500.0
02/01/2023,Sumatera Barat,Beras Medium,13610.0
02/01/2023,Sumatera Barat,Bawang Merah,24910.0
02/01/2023,Sumatera Barat,Bawang Putih Bonggol,22760.0
02/01/2023,Sumatera Barat,Cabai Rawit Merah,55340.0
02/01/2023,Riau,Beras Premium,15280.0
02/01/2023,Riau,Beras Medium,13440.0
02/01/2023,Riau,Bawang Merah,29380.0
02/01/2023,Riau,Bawang Putih Bonggol,25060.0
02/01/2023,Riau,Cabai Rawit Merah,56960.0
02/01/2023,Jambi,Beras Premium,13270.0
02/01/2023,Jambi,Beras Medium,11080.0
02/01/2023,Jambi,Bawang Merah,25350.0
02/01/2023,Jambi,Bawang Putih Bonggol,24250.0
02/01/2023,Jambi,Cabai Rawit Merah,55420.0
02/01/2023,Sumatera Selatan,Beras Premium,12260.0
02/01/2023,Sumatera Selatan,Beras Medium,10820.0
02/01/2023,Sumatera Selatan,Bawang Merah,34890.0
02/01/2023,Sumatera Selatan,Bawang Putih Bonggol,24660.0
02/01/2023,Sumatera Selatan,Cabai Rawit Merah,57960.0
02/01/2023,Bengkulu,Beras Premium,12910.0
02/01/2023,Bengkulu,Beras Medium,11240.0
02/01/2023,Bengkulu,Bawang Merah,35190.0
02/01/2023,Bengkulu,Bawang Putih Bonggol,24890.0
02/01/2023,Bengkulu,Cabai Rawit Merah,50090.0
02/01/2023,Lampung,Beras Premium,12250.0
02/01/2023,Lampung,Beras Medium,11010.0
02/01/2023,Lampung,Bawang Merah,32820.0
02/01/2023,Lampung,Bawang Putih Bonggol,23310.0
02/01/2023,Lampung,Cabai Rawit Merah,48560.0
02/01/2023,Kepulauan Bangka Belitung,Beras Premium,13000.0
02/01/2023,Kepulauan Bangka Belitung,Beras Medium,10800.0
02/01/2023,Kepulauan Bangka Belitung,Bawang Merah,41940.0
02/01/2023,Kepulauan Bangka Belitung,Bawang Putih Bonggol,26260.0
02/01/2023,Kepulauan Bangka Belitung,Cabai Rawit Merah,71700.0
02/01/2023,Kepulauan Riau,Beras Premium,14060.0
02/01/2023,Kepulauan Riau,Beras Medium,12980.0
02/01/2023,Kepulauan Riau,Bawang Merah,41710.0
02/01/2023,Kepulauan Riau,Bawang Putih Bonggol,25100.0
02/01/2023,Kepulauan Riau,Cabai Rawit Merah,69490.0
02/01/2023,DKI Jakarta,Beras Premium,12860.0
02/01/2023,DKI Jakarta,Beras Medium,10600.0
02/01/2023,DKI Jakarta,Bawang Merah,41160.0
02/01/2023,DKI Jakarta,Bawang Putih Bonggol,29860.0
02/01/2023,DKI Jakarta,Cabai Rawit Merah,71020.0
02/01/2023,Jawa Barat,Beras Premium,12060.0
02/01/2023,Jawa Barat,Beras Medium,10730.0
02/01/2023,Jawa Barat,Bawang Merah,31750.0
02/01/2023,Jawa Barat,Bawang Putih Bonggol,25590.0
02/01/2023,Jawa Barat,Cabai Rawit Merah,63740.0
02/01/2023,Jawa Tengah,Beras Premium,12390.0
02/01/2023,Jawa Tengah,Beras Medium,10970.0
02/01/2023,Jawa Tengah,Bawang Merah,33970.0
02/01/2023,Jawa Tengah,Bawang Putih Bonggol,22330.0
02/01/2023,Jawa Tengah,Cabai Rawit Merah,58130.0
02/01/2023,D.I Yogyakarta,Beras Premium,12600.0
02/01/2023,D.I Yogyakarta,Beras Medium,11390.0
02/01/2023,D.I Yogyakarta,Bawang Merah,32660.0
02/01/2023,D.I Yogyakarta,Bawang Putih Bonggol,21610.0
02/01/2023,D.I Yogyakarta,Cabai Rawit Merah,55290.0
02/01/2023,Jawa Timur,Beras Premium,12130.0
02/01/2023,Jawa Timur,Beras Medium,10850.0
02/01/2023,Jawa Timur,Bawang Merah,31630.0
02/01/2023,Jawa Timur,Bawang Putih Bonggol,21720.0
02/01/2023,Jawa Timur,Cabai Rawit Merah,55790.0
02/01/2023,Banten,Beras Premium,11720.0
02/01/2023,Banten,Beras Medium,10690.0
02/01/2023,Banten,Bawang Merah,35910.0
02/01/2023,Banten,Bawang Putih Bonggol,24860.0
02/01/2023,Banten,Cabai Rawit Merah,71030.0
02/01/2023,Bali,Beras Premium,12870.0
02/01/2023,Bali,Beras Medium,11800.0
02/01/2023,Bali,Bawang Merah,31330.0
02/01/2023,Bali,Bawang Putih Bonggol,21970.0
02/01/2023,Bali,Cabai Rawit Merah,76610.0
02/01/2023,Nusa Tenggara Barat,Beras Premium,11490.0
02/01/2023,Nusa Tenggara Barat,Beras Medium,10350.0
02/01/2023,Nusa Tenggara Barat,Bawang Merah,38440.0
02/01/2023,Nusa Tenggara Barat,Bawang Putih Bonggol,26050.0
02/01/2023,Nusa Tenggara Barat,Cabai Rawit Merah,79140.0
02/01/2023,Nusa Tenggara Timur,Beras Premium,12450.0
02/01/2023,Nusa Tenggara Timur,Beras Medium,10720.0
02/01/2023,Nusa Tenggara Timur,Bawang Merah,37250.0
02/01/2023,Nusa Tenggara Timur,Bawang Putih Bonggol,34720.0
02/01/2023,Nusa Tenggara Timur,Cabai Rawit Merah,60230.0
02/01/2023,Kalimantan Barat,Beras Premium,14330.0
02/01/2023,Kalimantan Barat,Beras Medium,12500.0
02/01/2023,Kalimantan Barat,Bawang Merah,42040.0
02/01/2023,Kalimantan Barat,Bawang Putih Bonggol,25190.0
02/01/2023,Kalimantan Barat,Cabai Rawit Merah,73780.0
02/01/2023,Kalimantan Tengah,Beras Premium,15340.0
02/01/2023,Kalimantan Tengah,Beras Medium,12580.0
02/01/2023,Kalimantan Tengah,Bawang Merah,39430.0
02/01/2023,Kalimantan Tengah,Bawang Putih Bonggol,29190.0
02/01/2023,Kalimantan Tengah,Cabai Rawit Merah,70240.0
02/01/2023,Kalimantan Selatan,Beras Premium,16360.0
02/01/2023,Kalimantan Selatan,Beras Medium,12930.0
02/01/2023,Kalimantan Selatan,Bawang Merah,35120.0
02/01/2023,Kalimantan Selatan,Bawang Putih Bonggol,25750.0
02/01/2023,Kalimantan Selatan,Cabai Rawit Merah,52990.0
02/01/2023,Kalimantan Timur,Beras Premium,13820.0
02/01/2023,Kalimantan Timur,Beras Medium,12360.0
02/01/2023,Kalimantan Timur,Bawang Merah,40900.0
02/01/2023,Kalimantan Timur,Bawang Putih Bonggol,29710.0
02/01/2023,Kalimantan Timur,Cabai Rawit Merah,59690.0
02/01/2023,Kalimantan Utara,Beras Premium,15190.0
02/01/2023,Kalimantan Utara,Beras Medium,13800.0
02/01/2023,Kalimantan Utara,Bawang Merah,45410.0
02/01/2023,Kalimantan Utara,Bawang Putih Bonggol,33290.0
02/01/2023,Kalimantan Utara,Cabai Rawit Merah,77070.0
02/01/2023,Sulawesi Utara,Beras Premium,13040.0
02/01/2023,Sulawesi Utara,Beras Medium,12040.0
02/01/2023,Sulawesi Utara,Bawang Merah,44360.0
02/01/2023,Sulawesi Utara,Bawang Putih Bonggol,32410.0
02/01/2023,Sulawesi Utara,Cabai Rawit Merah,51310.0
02/01/2023,Sulawesi Tengah,Beras Premium,12520.0
02/01/2023,Sulawesi Tengah,Beras Medium,10870.0
02/01/2023,Sulawesi Tengah,Bawang Merah,41620.0
02/01/2023,Sulawesi Tengah,Bawang Putih Bonggol,33150.0
02/01/2023,Sulawesi Tengah,Cabai Rawit Merah,48840.0
02/01/2023,Sulawesi Selatan,Beras Premium,11580.0
02/01/2023,Sulawesi Selatan,Beras Medium,10230.0
02/01/2023,Sulawesi Selatan,Bawang Merah,34840.0
02/01/2023,Sulawesi Selatan,Bawang Putih Bonggol,26340.0
02/01/2023,Sulawesi Selatan,Cabai Rawit Merah,31160.0
02/01/2023,Sulawesi Tenggara,Beras Premium,12340.0
02/01/2023,Sulawesi Tenggara,Beras Medium,11040.0
02/01/2023,Sulawesi Tenggara,Bawang Merah,41740.0
02/01/2023,Sulawesi Tenggara,Bawang Putih Bonggol,33200.0
02/01/2023,Sulawesi Tenggara,Cabai Rawit Merah,46080.0
02/01/2023,Gorontalo,Beras Premium,12410.0
02/01/2023,Gorontalo,Beras Medium,11180.0
02/01/2023,Gorontalo,Bawang Merah,37520.0
02/01/2023,Gorontalo,Bawang Putih Bonggol,33310.0
02/01/2023,Gorontalo,Cabai Rawit Merah,48560.0
02/01/2023,Sulawesi Barat,Beras Premium,12040.0
02/01/2023,Sulawesi Barat,Beras Medium,10900.0
02/01/2023,Sulawesi Barat,Bawang Merah,35650.0
02/01/2023,Sulawesi Barat,Bawang Putih Bonggol,27110.0
02/01/2023,Sulawesi Barat,Cabai Rawit Merah,36640.0
02/01/2023,Maluku,Beras Premium,14680.0
02/01/2023,Maluku,Beras Medium,12670.0
02/01/2023,Maluku,Bawang Merah,46620.0
02/01/2023,Maluku,Bawang Putih Bonggol,35160.0
02/01/2023,Maluku,Cabai Rawit Merah,93250.0
02/01/2023,Maluku Utara,Beras Premium,14270.0
02/01/2023,Maluku Utara,Beras Medium,12820.0
02/01/2023,Maluku Utara,Bawang Merah,52120.0
02/01/2023,Maluku Utara,Bawang Putih Bonggol,39440.0
02/01/2023,Maluku Utara,Cabai Rawit Merah,72060.0
02/01/2023,Papua Barat,Beras Premium,16060.0
02/01/2023,Papua Barat,Beras Medium,13440.0
02/01/2023,Papua Barat,Bawang Merah,57530.0
02/01/2023,Papua Barat,Bawang Putih Bonggol,44440.0
02/01/2023,Papua Barat,Cabai Rawit Merah,87400.0
02/01/2023,Papua,Beras Premium,15210.0
02/01/2023,Papua,Beras Medium,13180.0
02/01/2023,Papua,Bawang Merah,60200.0
02/01/2023,Papua,Bawang Putih Bonggol,36100.0
02/01/2023,Papua,Cabai Rawit Merah,89070.0
02/01/2023,Papua Barat Daya,Beras Premium,
02/01/2023,Papua Barat Daya,Beras Medium,
02/01/2023,Papua Barat Daya,Bawang Merah,
02/01/2023,Papua Barat Daya,Bawang Putih Bonggol,
02/01/2023,Papua Barat Daya,Cabai Rawit Merah,
02/01/2023,Papua Pegunungan,Beras Premium,
02/01/2023,Papua Pegunungan,Beras Medium,
02/01/2023,Papua Pegunungan,Bawang Merah,
02/01/2023,Papua Pegunungan,Bawang Putih Bonggol,
02/01/2023,Papua Pegunungan,Cabai Rawit Merah,
02/01/2023,Papua Tengah,Beras Premium,
02/01/2023,Papua Tengah,Beras Medium,
02/01/2023,Papua Tengah,Bawang Merah,
02/01/2023,Papua Tengah,Bawang Putih Bonggol,
02/01/2023,Papua Tengah,Cabai Rawit Merah,
02/01/2023,Papua Selatan,Beras Premium,
02/01/2023,Papua Selatan,Beras Medium,
02/01/2023,Papua Selatan,Bawang Merah,
02/01/2023,Papua Selatan,Bawang Putih Bonggol,
02/01/2023,Papua Selatan,Cabai Rawit Merah,
03/01/2023,Aceh,Beras Premium,12380.0
03/01/2023,Aceh,Beras Medium,11270.0
03/01/2023,Aceh,Bawang Merah,32270.0
03/01/2023,Aceh,Bawang Putih Bonggol,25160.0
03/01/2023,Aceh,Cabai Rawit Merah,
03/01/2023,Sumatera Utara,Beras Premium,12870.0
03/01/2023,Sumatera Utara,Beras Medium,11740.0
03/01/2023,Sumatera Utara,Bawang Merah,30980.0
03/01/2023,Sumatera Utara,Bawang Putih Bonggol,25970.0
03/01/2023,Sumatera Utara,Cabai Rawit Merah,50200.0
03/01/2023,Sumatera Barat,Beras Premium,15420.0
03/01/2023,Sumatera Barat,Beras Medium,13590.0
03/01/2023,Sumatera Barat,Bawang Merah,24970.0
03/01/2023,Sumatera Barat,Bawang Putih Bonggol,22810.0
03/01/2023,Sumatera Barat,Cabai Rawit Merah,54380.0
03/01/2023,Riau,Beras Premium,15430.0
03/01/2023,Riau,Beras Medium,13470.0
03/01/2023,Riau,Bawang Merah,29710.0
03/01/2023,Riau,Bawang Putih Bonggol,25130.0
03/01/2023,Riau,Cabai Rawit Merah,56620.0
03/01/2023,Jambi,Beras Premium,13270.0
03/01/2023,Jambi,Beras Medium,11080.0
03/01/2023,Jambi,Bawang Merah,25030.0
03/01/2023,Jambi,Bawang Putih Bonggol,24160.0
03/01/2023,Jambi,Cabai Rawit Merah,56890.0
03/01/2023,Sumatera Selatan,Beras Premium,12270.0
03/01/2023,Sumatera Selatan,Beras Medium,10920.0
03/01/2023,Sumatera Selatan,Bawang Merah,34730.0
03/01/2023,Sumatera Selatan,Bawang Putih Bonggol,24000.0
03/01/2023,Sumatera Selatan,Cabai Rawit Merah,59560.0
03/01/2023,Bengkulu,Beras Premium,12910.0
03/01/2023,Bengkulu,Beras Medium,11220.0
03/01/2023,Bengkulu,Bawang Merah,34890.0
03/01/2023,Bengkulu,Bawang Putih Bonggol,24890.0
03/01/2023,Bengkulu,Cabai Rawit Merah,50590.0
03/01/2023,Lampung,Beras Premium,12180.0
03/01/2023,Lampung,Beras Medium,10900.0
03/01/2023,Lampung,Bawang Merah,33750.0
03/01/2023,Lampung,Bawang Putih Bonggol,23300.0
03/01/2023,Lampung,Cabai Rawit Merah,53280.0
03/01/2023,Kepulauan Bangka Belitung,Beras Premium,13000.0
03/01/2023,Kepulauan Bangka Belitung,Beras Medium,10830.0
03/01/2023,Kepulauan Bangka Belitung,Bawang Merah,42580.0
03/01/2023,Kepulauan Bangka Belitung,Bawang Putih Bonggol,26420.0
03/01/2023,Kepulauan Bangka Belitung,Cabai Rawit Merah,79260.0
03/01/2023,Kepulauan Riau,Beras Premium,14410.0
03/01/2023,Kepulauan Riau,Beras Medium,12910.0
03/01/2023,Kepulauan Riau,Bawang Merah,42170.0
03/01/2023,Kepulauan Riau,Bawang Putih Bonggol,28030.0
03/01/2023,Kepulauan Riau,Cabai Rawit Merah,73200.0
03/01/2023,DKI Jakarta,Beras Premium,12860.0
03/01/2023,DKI Jakarta,Beras Medium,10600.0
03/01/2023,DKI Jakarta,Bawang Merah,41160.0
03/01/2023,DKI Jakarta,Bawang Putih Bonggol,29860.0
03/01/2023,DKI Jakarta,Cabai Rawit Merah,73300.0
03/01/2023,Jawa Barat,Beras Premium,12130.0
03/01/2023,Jawa Barat,Beras Medium,10780.0
03/01/2023,Jawa Barat,Bawang Merah,33230.0
03/01/2023,Jawa Barat,Bawang Putih Bonggol,25680.0
03/01/2023,Jawa Barat,Cabai Rawit Merah,68200.0
03/01/2023,Jawa Tengah,Beras Premium,12600.0
03/01/2023,Jawa Tengah,Beras Medium,10960.0
03/01/2023,Jawa Tengah,Bawang Merah,33750.0
03/01/2023,Jawa Tengah,Bawang Putih Bonggol,22510.0
03/01/2023,Jawa Tengah,Cabai Rawit Merah,57170.0
03/01/2023,D.I Yogyakarta,Beras Premium,12600.0
03/01/2023,D.I Yogyakarta,Beras Medium,11340.0
03/01/2023,D.I Yogyakarta,Bawang Merah,33090.0
03/01/2023,D.I Yogyakarta,Bawang Putih Bonggol,20190.0
03/01/2023,D.I Yogyakarta,Cabai Rawit Merah,63830.0
03/01/2023,Jawa Timur,Beras Premium,12060.0
03/01/2023,Jawa Timur,Beras Medium,10830.0
03/01/2023,Jawa Timur,Bawang Merah,32070.0
03/01/2023,Jawa Timur,Bawang Putih Bonggol,21470.0
03/01/2023,Jawa Timur,Cabai Rawit Merah,58450.0
03/01/2023,Banten,Beras Premium,11660.0
03/01/2023,Banten,Beras Medium,10730.0
03/01/2023,Banten,Bawang Merah,36040.0
03/01/2023,Banten,Bawang Putih Bonggol,25830.0
03/01/2023,Banten,Cabai Rawit Merah,78720.0
03/01/2023,Bali,Beras Premium,12880.0
03/01/2023,Bali,Beras Medium,11720.0
03/01/2023,Bali,Bawang Merah,31180.0
03/01/2023,Bali,Bawang Putih Bonggol,21970.0
03/01/2023,Bali,Cabai Rawit Merah,71330.0
03/01/2023,Nusa Tenggara Barat,Beras Premium,11420.0
03/01/2023,Nusa Tenggara Barat,Beras Medium,10260.0
03/01/2023,Nusa Tenggara Barat,Bawang Merah,37500.0
03/01/2023,Nusa Tenggara Barat,Bawang Putih Bonggol,25530.0
03/01/2023,Nusa Tenggara Barat,Cabai Rawit Merah,80210.0
